team_name,team_code,round,dayofweek,date,comp,venue,result,opponent,goals_for,goals_against,xg_for,xg_against,possession,attendance,captain,formation,referee,shots,shots_on_target,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,expected_goals,expected_goals_non_penalty,expected_goals_non_penalty_per_shot,expected_goals_net,expected_goals_non_penalty_net,shots_against,shots_on_target_against,shots_on_target_pct_against,goals_per_shot_against,goals_per_shot_on_target_against,average_shot_distance_against,shots_free_kicks_against,pens_made_against,pens_att_against,expected_goals_against,expected_goals_non_penalty_against,expected_goals_non_penalty_per_shot_against,expected_goals_net_against,expected_goals_non_penalty_net_against,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,sca_against,sca_passes_live_against,sca_passes_dead_against,sca_take_ons_against,sca_shots_against,sca_fouled_against,sca_defense_against,gca_against,gca_passes_live_against,gca_passes_dead_against,gca_take_ons_against,gca_shots_against,gca_fouled_against,gca_defense_against,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,cards_yellow_against,cards_red_against,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,ball_recoveries_against,aerials_won_against,aerials_lost_against,aerials_won_pct_against
Arsenal,18bb7c10,Matchweek 21,Sat,2024-01-20,EPL,Home,W,Crystal Palace,5,0,3.3,0.3,60,"60,284",Martin Ødegaard,4-3-3,Paul Tierney,21,7,33.3,0.24,0.71,16.7,0,0,0,3.3,3.3,0.16,+1.7,+1.7,12,5,41.7,0.00,0.00,24.4,2,0,0,0.3,0.3,0.03,-0.3,-0.3,36,28,4,1,0,2,1,9,6,2,1,0,0,0,19,9,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,8,12,5,16,9,11,0,0,0,49,17,19,47.2,0,0,0,12,7,2,16,6,4,0,0,0,41,19,17,52.8
Arsenal,18bb7c10,Matchweek 22,Tue,2024-01-30,EPL,Away,W,Nott'ham Forest,2,1,1.2,0.5,73,"29,387",Martin Ødegaard,4-3-3,Simon Hooper,19,3,15.8,0.11,0.67,17.6,0,0,0,1.2,1.2,0.06,+0.8,+0.8,9,3,33.3,0.11,0.33,18.7,0,0,0,0.5,0.5,0.05,+0.5,+0.5,35,29,1,4,0,0,1,2,1,1,0,0,0,0,15,12,1,1,0,1,0,2,2,0,0,0,0,0,1,0,0,7,5,3,24,5,8,0,0,0,47,18,20,47.4,0,0,0,6,7,1,13,15,7,0,0,0,32,20,18,52.6
Arsenal,18bb7c10,Matchweek 23,Sun,2024-02-04,EPL,Home,W,Liverpool,3,1,3.5,0.4,43,"60,374",Martin Ødegaard,4-3-3,Anthony Taylor,15,7,46.7,0.20,0.43,14.2,0,0,0,3.5,3.5,0.25,-0.5,-0.5,10,1,10.0,0.00,0.00,19.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4,27,19,2,2,3,1,0,5,3,0,1,1,0,0,19,17,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,11,10,3,12,11,11,0,0,1,36,18,22,45.0,4,1,1,11,10,1,19,8,6,0,0,0,36,22,18,55.0
Arsenal,18bb7c10,Matchweek 24,Sun,2024-02-11,EPL,Away,W,West Ham,6,0,3.6,0.2,70,"62,475",Martin Ødegaard,4-3-3,Craig Pawson,24,11,45.8,0.21,0.45,16.0,0,1,1,3.6,2.8,0.12,+2.4,+2.2,5,1,20.0,0.00,0.00,19.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,49,43,3,1,0,2,0,12,8,2,0,0,2,0,6,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,17,2,24,5,7,1,0,0,37,12,11,52.2,4,0,0,17,11,2,12,5,11,0,1,0,33,11,12,47.8
Arsenal,18bb7c10,Matchweek 25,Sat,2024-02-17,EPL,Away,W,Burnley,5,0,2.3,0.3,64,"21,311",Martin Ødegaard,4-3-3,Jarred Gillett,15,6,40.0,0.27,0.67,16.8,1,1,1,2.3,1.5,0.10,+2.7,+2.5,8,0,0.0,0.00,,18.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,27,18,3,2,1,2,1,9,5,1,1,1,1,0,15,10,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,8,11,1,10,5,11,1,0,0,44,20,8,71.4,2,0,0,11,8,5,12,6,8,0,1,0,43,8,20,28.6
Arsenal,18bb7c10,Matchweek 26,Sat,2024-02-24,EPL,Home,W,Newcastle Utd,4,1,2.8,0.2,55,"60,298",Martin Ødegaard,4-3-3,Paul Tierney,18,7,38.9,0.17,0.43,13.8,0,0,0,2.8,2.8,0.16,+0.2,+0.2,3,2,66.7,0.33,0.50,14.5,0,0,0,0.2,0.2,0.05,+0.8,+0.8,30,25,4,0,0,1,0,6,5,1,0,0,0,0,5,4,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,15,5,3,14,9,9,0,0,0,47,14,6,70.0,0,0,0,6,14,2,7,5,5,0,0,1,32,6,14,30.0
Arsenal,18bb7c10,Matchweek 27,Mon,2024-03-04,EPL,Away,W,Sheffield Utd,6,0,2.3,0.2,80,"29,157",Martin Ødegaard,4-3-3,Samuel Barrott,22,9,40.9,0.23,0.56,15.6,1,0,0,2.3,2.3,0.11,+2.7,+2.7,4,0,0.0,0.00,,21.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,36,29,2,1,3,1,0,8,7,0,1,0,0,0,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,5,17,4,6,0,0,0,44,10,7,58.8,1,0,0,11,4,2,4,14,7,0,0,1,36,7,10,41.2
Arsenal,18bb7c10,Matchweek 28,Sat,2024-03-09,EPL,Home,W,Brentford,2,1,1.3,1.0,71,"60,331",Martin Ødegaard,4-3-3,Robert Jones,17,5,29.4,0.12,0.40,16.4,0,0,0,1.3,1.3,0.08,+0.7,+0.7,9,4,44.4,0.11,0.25,17.1,0,0,0,1.0,1.0,0.11,0.0,0.0,33,32,1,0,0,0,0,4,4,0,0,0,0,0,15,10,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,9,10,1,28,2,4,0,0,0,46,19,22,46.3,4,0,0,10,9,2,11,8,6,0,0,0,30,22,19,53.7
Arsenal,18bb7c10,Matchweek 30,Sun,2024-03-31,EPL,Away,D,Manchester City,0,0,0.7,1.0,28,"52,178",Martin Ødegaard,4-3-3,Anthony Taylor,6,2,33.3,0.00,0.00,14.2,0,0,0,0.7,0.7,0.11,-0.7,-0.7,12,1,8.3,0.00,0.00,14.2,0,0,0,1.0,1.0,0.09,-1.0,-1.0,12,8,0,3,0,0,1,0,0,0,0,0,0,0,24,18,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,20,9,1,9,5,6,0,0,0,40,10,16,38.5,0,0,0,9,19,2,32,4,9,0,0,0,42,16,10,61.5
Arsenal,18bb7c10,Matchweek 31,Wed,2024-04-03,EPL,Home,W,Luton Town,2,0,0.7,0.3,58,"60,262",Martin Ødegaard,4-3-3,Craig Pawson,13,4,30.8,0.08,0.25,17.8,0,0,0,0.7,0.7,0.06,+0.3,+0.3,5,1,20.0,0.00,0.00,15.9,1,0,0,0.3,0.3,0.07,-0.3,-0.3,20,15,0,1,2,0,2,2,2,0,0,0,0,0,10,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,8,1,4,10,8,0,0,0,49,12,21,36.4,1,0,0,8,11,1,22,9,13,0,0,1,46,21,12,63.6
Arsenal,18bb7c10,Matchweek 32,Sat,2024-04-06,EPL,Away,W,Brighton,3,0,3.4,0.5,46,"31,677",Martin Ødegaard,4-3-3,John Brooks,19,6,31.6,0.11,0.33,12.4,0,1,1,3.4,2.6,0.14,-0.4,-0.6,10,2,20.0,0.00,0.00,19.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,37,26,6,0,3,2,0,5,4,0,0,0,1,0,14,12,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,13,13,2,14,7,9,1,0,0,46,10,9,52.6,1,0,0,14,12,2,20,10,9,0,1,0,36,9,10,47.4
Arsenal,18bb7c10,Matchweek 33,Sun,2024-04-14,EPL,Home,L,Aston Villa,0,2,1.6,0.9,52,"60,350",Martin Ødegaard,4-3-3,David Coote,18,4,22.2,0.00,0.00,17.2,1,0,0,1.6,1.6,0.10,-1.6,-1.6,11,2,18.2,0.18,1.00,18.8,1,0,0,0.9,0.9,0.09,+1.1,+1.1,27,23,0,1,3,0,0,0,0,0,0,0,0,0,13,9,0,0,2,1,1,4,3,0,0,0,0,1,3,0,0,12,6,5,13,5,14,0,0,0,49,12,6,66.7,1,0,0,7,12,1,15,9,7,0,0,0,43,6,12,33.3
Arsenal,18bb7c10,Matchweek 34,Sat,2024-04-20,EPL,Away,W,Wolves,2,0,1.2,0.2,54,"31,621",Martin Ødegaard,4-3-3,Paul Tierney,24,9,37.5,0.08,0.22,17.8,0,0,0,1.2,1.2,0.05,+0.8,+0.8,5,3,60.0,0.00,0.00,20.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,48,40,2,1,1,2,2,4,4,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,14,2,11,7,7,0,0,0,41,22,10,68.8,3,0,0,14,9,1,6,1,15,0,0,0,42,10,22,31.3
Arsenal,18bb7c10,Matchweek 29,Tue,2024-04-23,EPL,Home,W,Chelsea,5,0,3.3,1.6,45,"60,238",Martin Ødegaard,4-3-3,Simon Hooper,27,10,37.0,0.19,0.50,16.3,0,0,0,3.3,3.3,0.13,+1.7,+1.7,7,1,14.3,0.00,0.00,13.0,1,0,0,1.6,1.6,0.24,-1.6,-1.6,50,43,0,3,2,0,2,9,8,0,0,1,0,0,11,6,1,1,2,1,0,0,0,0,0,0,0,0,2,0,0,12,10,3,11,16,16,0,0,0,60,12,11,52.2,2,0,0,11,12,0,15,7,5,0,0,0,53,11,12,47.8
Arsenal,18bb7c10,Matchweek 35,Sun,2024-04-28,EPL,Away,W,Tottenham,3,2,1.0,2.3,38,"61,554",Martin Ødegaard,4-3-3,Michael Oliver,9,3,33.3,0.22,0.67,14.3,1,0,0,1.0,1.0,0.11,+1.0,+1.0,14,1,7.1,0.07,1.00,16.8,0,1,1,2.3,1.6,0.12,-0.3,-0.6,18,12,2,1,0,3,0,4,3,1,0,0,0,0,24,16,1,1,4,2,0,2,0,0,0,1,1,0,1,0,0,16,12,4,15,13,14,0,1,0,40,13,9,59.1,2,0,0,12,14,3,34,8,12,1,0,1,45,9,13,40.9
