match_id,home_team,away_team,date,season,temporal_weight,home_form_win_rate,home_form_draw_rate,home_form_goals_scored,home_form_goals_conceded,away_form_win_rate,away_form_draw_rate,away_form_goals_scored,away_form_goals_conceded,home_overall_win_rate,away_overall_win_rate,h2h_matches,h2h_home_win_rate,h2h_draw_rate,h2h_avg_goals,ref_avg_yellow,ref_avg_red,odds_home,odds_draw,odds_away,odds_over25,target_result,target_home_goals,target_away_goals,target_total_goals,target_home_cards,target_away_cards,target_total_cards
49,Aston Villa,West Ham,2019-09-16,1920,0.5657242734374999,0.5,0.0,1.5,1.0,0.5,0.5,2.0,1.0,0.25,0.5,0,0.33,0.33,0.0,3.5,0.25,2.64,3.56,2.63,1.62,D,0,0,0,2,2,4
50,Southampton,Bournemouth,2019-09-20,1920,0.5657242734374999,0.0,0.5,1.0,1.5,0.5,0.0,1.5,2.0,0.4,0.4,0,0.33,0.33,0.0,1.0,0.0,2.1,3.62,3.5,1.69,A,1,3,4,1,3,4
51,Man City,Watford,2019-09-21,1920,0.5657242734374999,0.5,0.5,3.0,1.0,0.0,0.5,0.5,1.0,0.6,0.0,0,0.33,0.33,0.0,3.4,0.4,1.11,10.24,23.21,1.25,H,8,0,8,2,2,4
52,Everton,Sheffield United,2019-09-21,1920,0.5657242734374999,1.0,0.0,2.0,1.0,0.0,1.0,1.5,1.5,0.4,0.2,0,0.33,0.33,0.0,3.0,0.2,1.67,3.8,5.58,2.03,A,0,2,2,1,3,4
53,Newcastle,Brighton,2019-09-21,1920,0.5657242734374999,0.0,0.5,0.5,1.0,0.5,0.0,1.5,2.0,0.2,0.2,0,0.33,0.33,0.0,3.8,0.0,2.5,3.16,3.07,2.35,D,0,0,0,2,1,3
54,Leicester,Tottenham,2019-09-21,1920,0.5657242734374999,0.5,0.5,1.5,0.5,0.0,1.0,2.0,2.0,0.4,0.4,0,0.33,0.33,0.0,4.333333333333333,0.0,2.87,3.5,2.45,1.79,H,2,1,3,1,2,3
55,Burnley,Norwich,2019-09-21,1920,0.5657242734374999,0.5,0.0,1.5,1.5,0.0,0.0,0.5,3.0,0.2,0.4,0,0.33,0.33,0.0,4.0,0.0,1.99,3.76,3.67,1.67,H,2,0,2,0,1,1
56,Crystal Palace,Wolves,2019-09-22,1920,0.5657242734374999,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.5,0.4,0.0,0,0.33,0.33,0.0,2.5,0.0,2.64,3.11,2.93,2.37,D,1,1,2,2,2,4
57,West Ham,Man United,2019-09-22,1920,0.5657242734374999,0.5,0.0,1.0,2.5,0.0,1.0,1.0,1.0,0.4,0.4,0,0.33,0.33,0.0,4.4,0.2,3.24,3.59,2.21,1.69,H,2,0,2,2,2,4
58,Arsenal,Aston Villa,2019-09-22,1920,0.5657242734374999,0.5,0.5,2.0,1.5,0.0,0.0,0.5,2.0,0.4,0.2,0,0.33,0.33,0.0,3.0,0.3333333333333333,1.42,4.9,7.49,1.45,H,3,2,5,6,1,7
59,Chelsea,Liverpool,2019-09-22,1920,0.5657242734374999,0.0,1.0,1.5,1.5,1.0,0.0,2.5,0.5,0.4,1.0,0,0.33,0.33,0.0,2.5,0.0,3.58,3.69,2.04,1.59,A,1,2,3,3,3,6
60,Wolves,Watford,2019-09-28,1920,0.5657242734374999,0.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,0.0,0.3333333333333333,0.3333333333333333,3.3333333333333335,0.0,0.0,0,0.33,0.33,0.0,4.0,0.0,1.89,3.49,4.46,1.99,H,2,0,2,0,1,1
61,Sheffield United,Liverpool,2019-09-28,1920,0.5657242734374999,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,0.0,2.3333333333333335,0.6666666666666666,0.4,1.2,0,0.33,0.33,0.0,4.333333333333333,0.16666666666666666,8.9,5.17,1.36,1.62,A,0,1,1,1,1,2
62,Aston Villa,Burnley,2019-09-28,1920,0.5657242734374999,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.0,0.6666666666666666,1.0,1.3333333333333333,0.2,0.4,0,0.33,0.33,0.0,3.5,0.5,2.38,3.38,3.08,1.91,D,2,2,4,1,4,5
63,Bournemouth,West Ham,2019-09-28,1920,0.5657242734374999,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6,0.6,0,0.33,0.33,0.0,2.6666666666666665,0.3333333333333333,2.48,3.56,2.79,1.57,D,2,2,4,3,1,4
64,Chelsea,Brighton,2019-09-28,1920,0.5657242734374999,0.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,0.4,0.2,0,0.33,0.33,0.0,1.75,0.0,1.44,4.64,7.64,1.65,H,2,0,2,2,3,5
65,Crystal Palace,Norwich,2019-09-28,1920,0.5657242734374999,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,2.6666666666666665,0.4,0.4,0,0.33,0.33,0.0,3.75,0.5,1.94,3.75,3.88,1.72,H,2,0,2,3,1,4
66,Tottenham,Southampton,2019-09-28,1920,0.5657242734374999,0.6666666666666666,0.0,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.4,0.4,0,0.33,0.33,0.0,2.6666666666666665,0.0,1.44,4.67,7.61,1.61,H,2,1,3,1,2,3
67,Everton,Man City,2019-09-28,1920,0.5657242734374999,0.6666666666666666,0.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,3.3333333333333335,1.3333333333333333,0.4,0.8,0,0.33,0.33,0.0,3.2,0.0,9.84,5.86,1.3,1.47,A,1,3,4,2,2,4
68,Leicester,Newcastle,2019-09-29,1920,0.5657242734374999,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,1.0,2.0,0.6,0.2,0,0.33,0.33,0.0,3.0,0.0,1.53,4.09,7.06,2.08,H,5,0,5,1,2,3
69,Man United,Arsenal,2019-09-30,1920,0.5657242734374999,0.6666666666666666,0.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.4,0.6,0,0.33,0.33,0.0,4.25,0.5,2.36,3.53,2.99,1.63,D,1,1,2,4,2,6
70,Brighton,Tottenham,2019-10-05,1920,0.5657242734374999,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666,1.6666666666666667,2.0,0.2,0.6,0,0.33,0.33,0.0,3.8,0.4,3.9,3.63,1.96,1.76,H,3,0,3,2,1,3
71,Burnley,Everton,2019-10-05,1920,0.5657242734374999,0.6666666666666666,0.0,1.6666666666666667,1.0,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.4,0.4,0,0.33,0.33,0.0,2.5,0.25,2.93,3.3,2.52,2.12,H,1,0,1,2,2,4
72,Liverpool,Leicester,2019-10-05,1920,0.5657242734374999,1.0,0.0,3.3333333333333335,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.4,0.8,0,0.33,0.33,0.0,2.4,0.0,1.46,4.66,7.0,1.61,H,2,1,3,1,4,5
73,Norwich,Aston Villa,2019-10-05,1920,0.5657242734374999,0.6666666666666666,0.0,2.6666666666666665,2.0,0.0,0.0,1.0,2.3333333333333335,0.4,0.2,0,0.33,0.33,0.0,1.0,0.0,2.41,3.6,2.85,1.57,A,1,5,6,1,3,4
74,Watford,Sheffield United,2019-10-05,1920,0.5657242734374999,0.0,0.3333333333333333,1.0,2.6666666666666665,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,0.0,0.4,0,0.33,0.33,0.0,2.25,0.0,2.14,3.38,3.58,2.0,D,0,0,0,0,2,2
75,West Ham,Crystal Palace,2019-10-05,1920,0.5657242734374999,0.6666666666666666,0.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.6666666666666666,2.0,0.6,0.6,0,0.33,0.33,0.0,3.3333333333333335,0.0,2.0,3.58,3.8,1.83,A,1,2,3,3,2,5
76,Arsenal,Bournemouth,2019-10-06,1920,0.5657242734374999,0.6666666666666666,0.3333333333333333,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.0,2.0,1.6666666666666667,0.6,0.6,0,0.33,0.33,0.0,3.6666666666666665,0.0,1.45,4.97,6.68,1.35,H,1,0,1,1,2,3
77,Man City,Wolves,2019-10-06,1920,0.5657242734374999,0.6666666666666666,0.3333333333333333,4.666666666666667,0.6666666666666666,0.0,0.6666666666666666,1.0,1.3333333333333333,1.0,0.2,0,0.33,0.33,0.0,2.75,0.25,1.13,9.26,21.61,1.38,A,0,2,2,5,2,7
78,Southampton,Chelsea,2019-10-06,1920,0.5657242734374999,0.0,0.3333333333333333,1.0,2.0,0.6666666666666666,0.0,2.6666666666666665,2.6666666666666665,0.4,0.6,0,0.33,0.33,0.0,3.4,0.0,4.02,3.84,1.87,1.7,A,1,4,5,0,1,1
79,Newcastle,Man United,2019-10-06,1920,0.5657242734374999,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.2,0.4,0,0.33,0.33,0.0,3.5,0.3333333333333333,4.42,3.44,1.9,2.16,H,1,0,1,3,3,6
